"","agebound","Lspline","Mspline","Sspline","gender","f"
"264",43,NA,0.0193169171196104,-0.0274409082212741,2,"FVC"
"265",44,NA,0.0215626559180411,-0.0306861357859285,2,"FVC"
"266",45,NA,0.023011009913164,-0.0327845742007962,2,"FVC"
"267",46,NA,0.0235433779523682,-0.0339427966894883,2,"FVC"
"268",47,NA,0.0230597387841396,-0.0343463513768709,2,"FVC"
"269",48,NA,0.0215062801066281,-0.0341674377219077,2,"FVC"
"270",49,NA,0.0191340702517948,-0.0336265654050973,2,"FVC"
"271",50,NA,0.0163303377965178,-0.0329565468783239,2,"FVC"
"272",51,NA,0.0134407166934025,-0.0323641318648824,2,"FVC"
"273",52,NA,0.0107698766429856,-0.0320277112889324,2,"FVC"
"274",53,NA,0.00852134453951336,-0.0319544496210904,2,"FVC"
"275",54,NA,0.00679777202797283,-0.0319747229477358,2,"FVC"
"276",55,NA,0.00568514873245185,-0.0319268109256732,2,"FVC"
"277",56,NA,0.00525903829768382,-0.0316661607261062,2,"FVC"
"278",57,NA,0.00555332066216785,-0.0310606705456524,2,"FVC"
"279",58,NA,0.00633371525866799,-0.0299683218383695,2,"FVC"
"280",59,NA,0.00726079069452013,-0.0282506208970008,2,"FVC"
"281",60,NA,0.00802728612391768,-0.0257838497521132,2,"FVC"
"282",61,NA,0.00835596305247144,-0.0224576992602983,2,"FVC"
"283",62,NA,0.00800824255209065,-0.0181808337136355,2,"FVC"
"284",63,NA,0.00689708022041557,-0.0129488953581238,2,"FVC"
"285",64,NA,0.00502445718131028,-0.00680735541020727,2,"FVC"
"286",65,NA,0.00239471717455864,0.000200141785426933,2,"FVC"
"287",66,NA,-0.000986941181517764,0.0080324215084655,2,"FVC"
"288",67,NA,-0.00511453902601744,0.0166505784601219,2,"FVC"
"289",68,NA,-0.0099506130386775,0.0259930406574758,2,"FVC"
"290",69,NA,-0.0153749434391148,0.0359341091775294,2,"FVC"
"291",70,NA,-0.021262093725479,0.0463461388076549,2,"FVC"
"292",71,NA,-0.0274964079476128,0.0571114242202,2,"FVC"
"293",72,NA,-0.0339712401530559,0.0681214174655733,2,"FVC"
"294",73,NA,-0.0405882540090623,0.0792760164308715,2,"FVC"
"295",74,NA,-0.0472715254818912,0.0904966899134154,2,"FVC"
"296",75,NA,-0.053998830947636,0.101755664896175,2,"FVC"
"297",76,NA,-0.0607592844293201,0.11303629963497,2,"FVC"
"298",77,NA,-0.0675427820352006,0.124323180502199,2,"FVC"
"299",78,NA,-0.0743399453098021,0.135602032142413,2,"FVC"
"300",79,NA,-0.0811420691216966,0.146859634851796,2,"FVC"
"301",80,NA,-0.0879411035898787,0.158083809753364,2,"FVC"
"302",81,NA,-0.0947303976642075,0.169264960950135,2,"FVC"
"303",82,NA,-0.101504671244774,0.180396037367791,2,"FVC"
"304",83,NA,-0.108259070034812,0.191470616046851,2,"FVC"
"305",84,NA,-0.114989090418598,0.202482764591108,2,"FVC"
"306",85,NA,-0.12169055542436,0.213427006951497,2,"FVC"
"307",86,NA,-0.128359592478732,0.224298291785461,2,"FVC"
"308",87,NA,-0.134992612105147,0.235091964335149,2,"FVC"
"309",88,NA,-0.141586213369886,0.245803863948787,2,"FVC"
"310",89,NA,-0.148137105627498,0.256430398970034,2,"FVC"
"311",90,NA,-0.154642227596623,0.266968299643853,2,"FVC"
"312",91,NA,-0.161098747761628,0.277414570649047,2,"FVC"
"313",92,NA,-0.167504049280476,0.287766472556517,2,"FVC"
"314",93,NA,-0.17385571594922,0.298021504607101,2,"FVC"
"315",94,NA,NA,NA,2,"FVC"
"316",95,NA,NA,NA,2,"FVC"
"317",17,NA,-0.102996940551256,-0.0130538002397165,1,"VC"
"318",18,NA,-0.0813169443332722,-0.0106680175017795,1,"VC"
"319",19,NA,-0.0612852708750093,-0.00841726934951259,1,"VC"
"320",20,NA,-0.0418771636055499,-0.00629562791740046,1,"VC"
"321",21,NA,-0.0227299322250509,-0.00430166838124846,1,"VC"
"322",22,NA,-0.00543008277743695,-0.00243943677366243,1,"VC"
"323",23,NA,0.00760304473199724,-0.000722123955307019,1,"VC"
"324",24,NA,0.0135690545069682,0.000829732428220709,1,"VC"
"325",25,NA,0.0131527981446222,0.00220724840429787,1,"VC"
"326",26,NA,0.00954635034581308,0.00341067521199223,1,"VC"
"327",27,NA,0.00545957063422264,0.00444346303242682,1,"VC"
