,agebound,Mspline,Sspline,Lspline,gender,f
258,76,-0.07567109,0.1520781,,1,FVC
259,76,-0.07300574,0.1321246,,2,FVC
260,77,-0.08204134,0.16110749,,1,FVC
261,77,-0.0783505,0.13956196,,2,FVC
262,78,-0.08840474,0.17011556,,1,FVC
263,78,-0.08364245,0.14684932,,2,FVC
264,79,-0.09474206,0.1791048,,1,FVC
265,79,-0.08887497,0.1539885,,2,FVC
266,80,-0.10103927,0.18807363,,1,FVC
267,80,-0.09404706,0.16098722,,2,FVC
268,81,-0.10729132,0.19701239,,1,FVC
269,81,-0.09915914,0.16785428,,2,FVC
270,82,-0.11349458,0.20591107,,1,FVC
271,82,-0.10421161,0.17459793,,2,FVC
272,83,-0.11964569,0.21476042,,1,FVC
273,83,-0.10920492,0.18122597,,2,FVC
274,84,-0.12574161,0.22355185,,1,FVC
275,84,-0.11413953,0.18774575,,2,FVC
276,85,-0.13177952,0.23227743,,1,FVC
277,85,-0.11901594,0.19416418,,2,FVC
278,86,-0.13775698,0.24093005,,1,FVC
279,86,-0.1238351,0.2004874,,2,FVC
280,87,-0.14367317,0.24950579,,1,FVC
281,87,-0.12859831,0.20672094,,2,FVC
282,88,-0.14952831,0.25800277,,1,FVC
283,88,-0.13330681,0.21286999,,2,FVC
284,89,-0.15532263,0.26641931,,1,FVC
285,89,-0.13796184,0.21893948,,2,FVC
286,90,-0.16105642,0.27475392,,1,FVC
287,90,-0.14256457,0.22493408,,2,FVC
288,19,-0.03070592,0.34628412,,1,FEV1FVC
289,19,-0.03190383,0.32905121,-9.41e-14,2,FEV1FVC
290,20,-0.02686585,0.32320541,,1,FEV1FVC
291,20,-0.02865367,0.32186026,-9.41e-14,2,FEV1FVC
292,21,-0.02323977,0.30065074,,1,FEV1FVC
293,21,-0.02554614,0.3132031,-9.41e-14,2,FEV1FVC
294,22,-0.01981346,0.27772784,,1,FEV1FVC
295,22,-0.02254839,0.30220109,-9.33e-14,2,FEV1FVC
296,23,-0.0165716,0.25348485,,1,FEV1FVC
297,23,-0.01963768,0.28840342,-9.33e-14,2,FEV1FVC
298,24,-0.01350292,0.22709755,,1,FEV1FVC
299,24,-0.01681769,0.27209861,-9.33e-14,2,FEV1FVC
300,25,-0.01060665,0.19827259,,1,FEV1FVC
301,25,-0.01409845,0.25398511,-9.33e-14,2,FEV1FVC
302,26,-0.00789842,0.16746687,,1,FEV1FVC
303,26,-0.01149375,0.23521137,-9.33e-14,2,FEV1FVC
304,27,-0.00539343,0.13539852,,1,FEV1FVC
305,27,-0.00901512,0.21660797,-9.24e-14,2,FEV1FVC
306,28,-0.00310661,0.10312756,,1,FEV1FVC
307,28,-0.00667222,0.19861201,-9.24e-14,2,FEV1FVC
308,29,-0.00104394,0.07154756,,1,FEV1FVC
309,29,-0.00448546,0.18123579,-9.24e-14,2,FEV1FVC
310,30,0.00080445,0.04134884,,1,FEV1FVC
311,30,-0.00250013,0.16379541,-9.24e-14,2,FEV1FVC
312,31,0.00244829,0.01303711,,1,FEV1FVC
313,31,-0.0007553,0.14563724,-9.24e-14,2,FEV1FVC
314,32,0.00388238,-0.01328697,,1,FEV1FVC
315,32,0.00072033,0.12619906,-9.15e-14,2,FEV1FVC
316,33,0.00509747,-0.03768381,,1,FEV1FVC
317,33,0.00190595,0.10502146,-9.15e-14,2,FEV1FVC
318,34,0.0060969,-0.06015413,,1,FEV1FVC
319,34,0.00280554,0.08193615,-9.15e-14,2,FEV1FVC
320,35,0.00690127,-0.08060424,,1,FEV1FVC
321,35,0.00344801,0.05706136,-9.15e-14,2,FEV1FVC
322,36,0.00753137,-0.09894941,,1,FEV1FVC
323,36,0.00386388,0.03060158,-9.06e-14,2,FEV1FVC
324,37,0.00801953,-0.11501877,,1,FEV1FVC
325,37,0.00411205,0.00348659,-9.06e-14,2,FEV1FVC
326,38,0.00840525,-0.12858792,,1,FEV1FVC
327,38,0.00426067,-0.02308463,-9.06e-14,2,FEV1FVC
328,39,0.00872201,-0.13948802,,1,FEV1FVC
329,39,0.0043645,-0.04809863,-9.06e-14,2,FEV1FVC
330,40,0.00898587,-0.14776931,,1,FEV1FVC
331,40,0.00444349,-0.0707556,-9.06e-14,2,FEV1FVC
332,41,0.0092016,-0.15361733,,1,FEV1FVC
333,41,0.00450324,-0.09040491,-8.97e-14,2,FEV1FVC
334,42,0.00937319,-0.15720683,,1,FEV1FVC
335,42,0.00454832,-0.10652332,-8.97e-14,2,FEV1FVC
336,43,0.00950168,-0.15877248,,1,FEV1FVC
337,43,0.00457955,-0.11896893,-8.97e-14,2,FEV1FVC
338,44,0.00958507,-0.15861476,,1,FEV1FVC
339,44,0.00459557,-0.12782651,-8.97e-14,2,FEV1FVC
340,45,0.00962159,-0.15700646,,1,FEV1FVC
341,45,0.00459527,-0.13318694,-9.06e-14,2,FEV1FVC
342,46,0.00960804,-0.15416261,,1,FEV1FVC
343,46,0.0045793,-0.13527976,-8.97e-14,2,FEV1FVC
344,47,0.00953404,-0.15015374,,1,FEV1FVC
345,47,0.00455144,-0.13458852,-8.97e-14,2,FEV1FVC
346,48,0.00938851,-0.14501228,,1,FEV1FVC
347,48,0.00451541,-0.13157819,-8.97e-14,2,FEV1FVC
348,49,0.00916194,-0.13877005,,1,FEV1FVC
349,49,0.00447426,-0.12666806,-8.88e-14,2,FEV1FVC
350,50,0.00884753,-0.13143906,,1,FEV1FVC
351,50,0.00442601,-0.12029291,-8.88e-14,2,FEV1FVC
352,51,0.00844243,-0.12299293,,1,FEV1FVC
353,51,0.00436481,-0.11289353,-8.97e-14,2,FEV1FVC
354,52,0.0079447,-0.11340623,,1,FEV1FVC
355,52,0.00428538,-0.10486542,-8.88e-14,2,FEV1FVC
356,53,0.00735283,-0.10265942,,1,FEV1FVC
357,53,0.00418302,-0.09654834,-8.88e-14,2,FEV1FVC
358,54,0.00666793,-0.09076487,,1,FEV1FVC
359,54,0.00405274,-0.08799151,-8.88e-14,2,FEV1FVC
360,55,0.00589647,-0.07780227,,1,FEV1FVC
361,55,0.00388942,-0.07901525,-8.88e-14,2,FEV1FVC
362,56,0.00504528,-0.06385533,,1,FEV1FVC
363,56,0.0036885,-0.06945192,-8.88e-14,2,FEV1FVC
364,57,0.00412062,-0.04900133,,1,FEV1FVC
365,57,0.00344601,-0.05915267,-8.79e-14,2,FEV1FVC
366,58,0.00312855,-0.03331671,,1,FEV1FVC
367,58,0.00315759,-0.04801099,-8.88e-14,2,FEV1FVC
368,59,0.00207658,-0.01691262,,1,FEV1FVC
369,59,0.00281762,-0.03598746,-8.88e-14,2,FEV1FVC
370,60,0.00097252,8.958e-05,,1,FEV1FVC
371,60,0.0024209,-0.02305538,-8.88e-14,2,FEV1FVC
372,61,-0.00017644,0.01757888,,1,FEV1FVC
373,61,0.00196284,-0.00919244,-8.79e-14,2,FEV1FVC
374,62,-0.00136372,0.03545388,,1,FEV1FVC
375,62,0.00143947,0.00561287,-8.79e-14,2,FEV1FVC
376,63,-0.00258307,0.05362384,,1,FEV1FVC
377,63,0.00084835,0.02122656,-8.79e-14,2,FEV1FVC
378,64,-0.00382796,0.07201333,,1,FEV1FVC
379,64,0.00018838,0.03739263,-8.79e-14,2,FEV1FVC
380,65,-0.00509222,0.09055513,,1,FEV1FVC
381,65,-0.00054127,0.05387216,-8.79e-14,2,FEV1FVC
382,66,-0.00637019,0.10918774,,1,FEV1FVC
383,66,-0.00134125,0.07044704,-8.79e-14,2,FEV1FVC
384,67,-0.00765669,0.12785487,,1,FEV1FVC
385,67,-0.0022119,0.08691996,-8.79e-14,2,FEV1FVC
386,68,-0.00894706,0.14650481,,1,FEV1FVC
387,68,-0.00314959,0.10316332,-8.79e-14,2,FEV1FVC
388,69,-0.01023757,0.16508899,,1,FEV1FVC
389,69,-0.00414648,0.11912042,-8.7e-14,2,FEV1FVC
390,70,-0.01152503,0.18356253,,1,FEV1FVC
391,70,-0.00519507,0.13474299,-8.7e-14,2,FEV1FVC
392,71,-0.01280648,0.20188437,,1,FEV1FVC
393,71,-0.00628843,0.14998722,-8.79e-14,2,FEV1FVC
394,72,-0.01407926,0.220017,,1,FEV1FVC
395,72,-0.00742011,0.16481337,-8.79e-14,2,FEV1FVC
396,73,-0.0153409,0.23792623,,1,FEV1FVC
397,73,-0.00858398,0.17919577,-8.7e-14,2,FEV1FVC
398,74,-0.01658966,0.25559246,,1,FEV1FVC
399,74,-0.00977366,0.19315872,-8.79e-14,2,FEV1FVC
400,75,-0.01782492,0.2730192,,1,FEV1FVC
401,75,-0.01098302,0.20673869,-8.7e-14,2,FEV1FVC
402,76,-0.01904621,0.29021224,,1,FEV1FVC
403,76,-0.01220638,0.21996974,-8.7e-14,2,FEV1FVC
404,77,-0.02025311,0.30717719,,1,FEV1FVC
405,77,-0.01343849,0.23288369,-8.7e-14,2,FEV1FVC
406,78,-0.02144525,0.32391943,,1,FEV1FVC
407,78,-0.01467448,0.24551029,-8.7e-14,2,FEV1FVC
408,79,-0.02262231,0.34044417,,1,FEV1FVC
409,79,-0.01591007,0.25787847,-8.7e-14,2,FEV1FVC
410,80,-0.02378426,0.35675582,,1,FEV1FVC
411,80,-0.01714228,0.27001961,-8.62e-14,2,FEV1FVC
412,81,-0.02493171,0.37285737,,1,FEV1FVC
413,81,-0.01836858,0.2819641,-8.70415e-14,2,FEV1FVC
414,82,-0.02606529,0.3887516,,1,FEV1FVC
415,82,-0.01958663,0.29374029,-8.70415e-14,2,FEV1FVC
416,83,-0.02718561,0.4044413,,1,FEV1FVC
417,83,-0.02079425,0.30537468,-8.70415e-14,2,FEV1FVC
418,84,-0.02829322,0.41992922,,1,FEV1FVC
419,84,-0.02198944,0.31689202,-8.70415e-14,2,FEV1FVC
420,85,-0.02938869,0.43521811,,1,FEV1FVC
421,85,-0.0231704,0.32831465,-8.61533e-14,2,FEV1FVC
422,86,-0.0304725,0.45031089,,1,FEV1FVC
423,86,-0.02433658,0.33965009,-8.61533e-14,2,FEV1FVC
424,87,-0.0315449,0.46521301,,1,FEV1FVC
425,87,-0.0254884,0.3508942,-8.61533e-14,2,FEV1FVC
426,88,-0.03260597,0.47993132,,1,FEV1FVC
427,88,-0.02662631,0.36204282,-8.61533e-14,2,FEV1FVC
428,89,-0.03365582,0.4944724,,1,FEV1FVC
429,89,-0.02775071,0.37309215,-8.61533e-14,2,FEV1FVC
430,90,-0.03469453,0.50884252,,1,FEV1FVC
431,90,-0.02886202,0.38403871,-8.61533e-14,2,FEV1FVC
