age;Mspline;Sspline
31.25;-0.0404388744966966;-0.0829329015101212
31.5;-0.0403303732022289;-0.0804578663068991
31.75;-0.0402032693041832;-0.0780213723346281
32;-0.0400577267112485;-0.0756230561298317
32.25;-0.0398939093320196;-0.0732625542283385
32.5;-0.0397119810750521;-0.0709395031670566
32.75;-0.0395121058489734;-0.0686535394821073
33;-0.0392944475631394;-0.0664042997073016
33.25;-0.0390591701810457;-0.0641914202003746
33.5;-0.0388064374443202;-0.0620145380413373
33.75;-0.0385364502573724;-0.0598731692630841
34;-0.0382497228975029;-0.0577658091739837
34.25;-0.0379469306848979;-0.0556904285301694
34.5;-0.0376287494784406;-0.0536449963332259
34.75;-0.037295855317196;-0.0516274809977042
35;-0.0369489242412355;-0.0496358509349157
35.25;-0.0365886322904005;-0.047668074557119
35.5;-0.0362156555044968;-0.045722120276332
35.75;-0.0358306699233819;-0.0437959565049257
36;-0.0354343515868596;-0.0418875516549191
36.25;-0.0350273765347335;-0.0399948741382925
36.5;-0.0346104208068378;-0.0381158923675242
36.75;-0.0341841604430388;-0.0362485747546928
37;-0.0337492714831742;-0.0343908897115988
37.25;-0.0333064299646226;-0.0325408056585781
37.5;-0.0328563119343874;-0.0306962909845354
37.75;-0.0323995790186236;-0.0288553606248976
38;-0.0319366567993533;-0.0270167914018078
38.25;-0.0314677778150705;-0.0251799832302844
38.5;-0.0309931689945411;-0.0233443541306224
38.75;-0.0305130572555987;-0.0215093221603615
39;-0.0300276695153019;-0.0196743053774253
39.25;-0.0295372326909589;-0.0178387218408851
39.5;-0.0290419736997274;-0.0160019896083918
39.75;-0.0285421194589341;-0.0141635267388276
40;-0.0280378968858033;-0.0123227512903239
40.25;-0.0275295328976624;-0.0104790813213134
40.5;-0.0270172544112424;-0.00863193489015046
40.75;-0.0265012883440729;-0.006780730055711
41;-0.0259818616149676;-0.0049248848737462
41.25;-0.0254592008658523;-0.0030638177139144
41.5;-0.024933532202188;-0.0011969475483764
41.75;-0.0244050834106486;0.000676308543877013
42;-0.0238739122161902;0.00255634179425357
42.25;-0.0233398826140159;0.00444332506606626
42.5;-0.0228028396360311;0.00633740984805131
42.75;-0.0222626294496369;0.0082387489076643
43;-0.021719098055837;0.0101474948253903
43.25;-0.0211720914824822;0.0120638002127347
43.5;-0.0206214557630744;0.0139878176865951
43.75;-0.0200670369312621;0.0159196998638245
44;-0.0195086810206102;0.0178595993622546
44.25;-0.0189462340647322;0.0198076687992073
44.5;-0.0183795420973094;0.021764060791571
44.75;-0.0178084511518937;0.0237289279572175
45;-0.0172328072621502;0.0257024229128962
45.25;-0.0166524564605846;0.0276846982598067
45.5;-0.016067244777624;0.0296759065655334
45.75;-0.0154770181752046;0.0316761993436234
46;-0.0148816090219923;0.0336855187299703
46.25;-0.0142808212765271;0.0357033692568991
46.5;-0.0136744553279871;0.0377292004803724
46.75;-0.0130623115675619;0.0397624619854851
47;-0.0124441903838433;0.0418026033191388
47.25;-0.0118198921656485;0.0438490740278117
47.5;-0.0111892173019761;0.0459013236675938
47.75;-0.0105519661820614;0.0479588017892474
48;-0.00990793919474076;0.0500209579463164
48.25;-0.00925693672924632;0.0520872416901246
